,clean_text,Dominant_Topic
339,dynasty become military economic cultural power south asia south east asia rajendra chola navy go even occupy sea coast burma vietnam andaman nicobar island lakshadweep laccadive island sumatra malay peninsula southeast asia pegu island,2
340,power new empire proclaim eastern world expedition ganges rajendra chola,5
341,undertook occupation city maritime empire srivijaya southeast asia well repeat embassy china dominate political affair sri lanka two century repeat invasion occupation,5
342,also continue trade contact arabs west chinese empire east rajaraja chola equally distinguish son rajendra chola give political unity whole southern india establish chola empire respect sea power cholas south india reach new height excellence art religion literature,5
343,sphere chola period mark culmination movement begin earlier age pallavas,5
344,monumental architecture form majestic temple sculpture stone bronze reach finesse never achieve india western chalukya empire western chalukya empire rule western deccan south india th th century vast area narmada river north kaveri river south come chalukya control,5
345,period major rule family deccan hoysalas seuna yadavas devagiri kakatiya dynasty southern kalachuris subordinate western chalukyas gain independence power chalukya wan latter half th century western chalukyas develop architectural style know today transitional style architectural link style early chalukya dynasty later hoysala empire,5
346,monument district border tungabhadra river central karnataka,5
347,well know example kasivisvesvara temple lakkundi mallikarjuna temple kuruvatti kallesvara temple bagali siddhesvara temple haveri mahadeva temple itagi,3
348,important period development fine art southern india especially literature western chalukya king encourage writer native language kannada sanskrit like philosopher statesman basava great mathematician bhāskara ii late medieval period c ce,5
349,late medieval period mark repeated invasion muslim central asian nomadic clan rule delhi sultanate growth dynasty empires build upon military technology sultanate,5
350,,5
351,delhi sultanate,3
352,delhi sultanate muslim sultanate base delhi ruled several dynasty turkic turko indian pathan origins rule large part indian subcontinent th century early th century,5
353,th th century central asian turk invade part northern india establish delhi sultanate former hindu holding subsequent mamluk dynasty delhi manage conquer large area northern india khalji dynasty conquer central india force principal hindu kingdom south india become vassal state,5
354,sultanate ushered period indian cultural renaissance,1
355,result indo muslim fusion culture leave lasting syncretic monument architecture music literature religion clothing,1
356,surmise language urdu bear delhi sultanate period result intermingle local speaker sanskritic prakrit immigrant speak persian turkic arabic muslim ruler,0
357,delhi sultanate indo islamic empire enthrone one female ruler india razia sultana,1
358,,5
359,delhi sultanate synthesis indian civilization islamic civilization,5
360,latter cosmopolitan civilization multicultural pluralistic society wide range international network include social economic network span large part afro eurasia lead escalate circulation good people technology idea,3
361,initially disruptive due pass power native indian elite turkic muslim elite delhi sultanate responsible integrate indian subcontinent grow world system draw india wider international network significant impact indian culture society,3
362,however delhi sultanate also cause large scale destruction desecration temple indian subcontinent mongol invasion india successfully repel delhi sultanate rule alauddin khalji,5
363,major factor success turkic mamluk slave army highly skilled style nomadic cavalry warfare mongols result similar nomadic central asian root,1
364,possible mongol empire may expand india delhi sultanate role repel,0
365,repeatedly repulse mongol raider sultanate save india devastation visit west central asia set scene century migration flee soldier learn men mystic trader artist artisan region subcontinent thereby create syncretic indo islamic culture north,2
366,turco mongol conqueror central asia timur tamerlane attack reign sultan nasir u din mehmud tughlaq dynasty north indian city delhi sultan army defeat december,2
367,timur enter delhi city sack destroyed left ruin timur army kill plundered three day night,1
368,ordered whole city sack except sayyids scholar muslims artist war prisoner put death one day,1
369,sultanate suffer significantly sack delhi,3
370,though revive briefly lodi dynasty shadow former,2
371,vijayanagara empire vijayanagara empire,1
372,vijayanagara empire vijayanagara empire establish harihara brother bukka raya sangama dynasty originate political heir hoysala empire kakatiya empire pandyan empire,1
373,empire rise prominence culmination attempt south indian power ward islamic invasion end th century,5
374,last although power decline major military defeat combine army deccan sultanate,3
375,empire name capital city vijayanagara whose ruin surround present day hampi world heritage site karnataka india first two decade found empire harihara gain control area south tungabhadra river earn title purvapaschima samudradhishavara master eastern western sea,4
376,bukka raya successor harihara defeat chiefdom arcot reddys kondavidu sultan madurai gain control goa west tungabhadra krishna river doab north,1
377,,5
378,vijayanagara kingdom imperial stature harihara ii second son bukka raya consolidate kingdom beyond krishna river bring whole south india vijayanagara umbrella,1
379,next ruler deva raya emerge successful gajapatis odisha undertook important work fortification irrigation italian traveler niccolo de conti write powerful ruler india deva raya ii call gajabetekara succeed throne possibly capable sangama dynasty ruler,1
380,quell rebel feudal lord well zamorin calicut quilon south,4
381,invade island sri lanka become overlord king burma pegu tanasserim vijayanagara emperor tolerant religion sect writing foreign visitor show,3
382,king use title gobrahamana pratipalanacharya literally protector cow brahmins hindurayasuratrana lit upholder hindu faith testify intention protect hinduism yet time staunchly islamicate court ceremonial dress empire founder harihara bukka raya devout shaivas worshipper shiva make grant vaishnava order sringeri vidyaranya patron saint designate varaha boar avatar vishnu emblem,3
383,one fourth archaeological dig find islamic quarter far royal quarter,5
384,noble central asia timurid kingdom also come vijayanagara,1
385,later saluva tuluva king vaishnava faith worshipped foot lord virupaksha shiva hampi well lord venkateshwara vishnu tirupati,3
386,sanskrit work jambavati kalyanam king krishnadevaraya call lord virupaksha karnata rajya raksha mani protective jewel karnata empire full citation need,3
387,king patronise saint dvaita order philosophy dualism madhvacharya udupi,1
388,photograph ruin vijayanagara empire hampi unesco world heritage site gajashaala elephant stable build vijayanagar ruler war elephant,1
389,vijayanagara marketplace hampi along sacred tank locate side krishna temple,2
390,stone temple car vitthala temple hampi,3
391,,5
392,empire legacy include many monument spread south india best know group hampi,5
393,previous temple building tradition south india come together vijayanagara architecture style,3
394,mingle faiths vernacular inspire architectural innovation hindu temple construction first deccan later dravidian idiom use local granite,2
395,south indian mathematics flourish protection vijayanagara empire kerala,5
396,south indian mathematician madhava sangamagrama found famous kerala school astronomy mathematics th century produce lot great south indian mathematician like parameshvara nilakantha somayaji jyeṣṭhadeva medieval south india efficient administration vigorous overseas trade bring new technology water management system irrigation,5
397,empire patronage enable fine art literature reach new height kannada telugu tamil sanskrit carnatic music evolve current form,0
398,vijayanagara go decline defeat battle talikota,1
399,death aliya rama raya battle talikota tirumala deva raya start aravidu dynasty move founded new capital penukonda replace destroy hampi attempt reconstitute remain vijayanagara empire,1
400,tirumala abdicate dividing remains kingdom three son pursue religious life death,0
401,aravidu dynasty successor rule region empire collapse final remains end continued war bijapur sultanate others,5
402,period kingdom south india become independent separate vijayanagara,5
403,include mysore kingdom keladi nayaka nayaks madurai nayaks tanjore nayakas chitradurga nayak kingdom gingee declare independence go significant impact history south india come century,4
404,mewar dynasty,5
405,,5
406,two half century mid th century politics northern india dominate delhi sultanate southern india vijayanagar empire,5
407,however regional power present well,3
408,fall pala empire chero dynasty rule much eastern uttar pradesh bihar jharkhand th ce th ce reddy dynasty successfully defeat delhi sultanate extend rule cuttack north kanchi south eventually absorb expand vijayanagara empire north rajput kingdom remain dominant force western central india,5
409,mewar dynasty maharana hammir defeat captured muhammad tughlaq bargujars main ally,1
410,tughlaq pay huge ransom relinquish mewar land,1
411,event delhi sultanate attack chittor hundred year,3
412,rajput establish independence rajput state establish far east bengal north punjab,1
413,tomaras establish gwalior man singh tomar reconstruct gwalior fort still stand,1
414,period mewar emerge lead rajput state rana kumbha expand kingdom expense sultanates malwa gujarat,1
415,next great rajput ruler rana sanga mewar become principal player northern india,3
416,objective grow scope plan conquer much seek prize muslim ruler time delhi,2
417,defeat battle khanwa consolidate new mughal dynasty india mewar dynasty maharana udai singh ii face defeat mughal emperor akbar capital chittor capture,1
418,due event udai singh ii found udaipur become new capital mewar kingdom,1
419,son maharana pratap mewar firmly resist mughals,4
420,akbar send many mission,1
421,survive ultimately gain control mewar exclude chittor fort south bahmani sultanate establish either brahman convert patronise brahman source give name bahmani chief rival vijayanagara frequently create difficulty vijayanagara,1
422,early th century krishnadevaraya vijayanagar empire defeat last remnant bahmani sultanate power,1
423,bahmani sultanate collapse result split five small deccan sultanate ahmadnagar declare independence follow bijapur berar year golkonda become independent bidar,3
424,although generally rival ally vijayanagara empire permanently weaken vijayanagar battle talikota,1
425,,5
426,east gajapati kingdom remain strong regional power reckon associate high point growth regional culture architecture,5
427,kapilendradeva gajapatis become empire stretch low ganga north kaveri south northeast india ahom kingdom major power six century lead lachit borphukan ahoms decisively defeat mughal army battle saraighat ahom mughal conflict east northeastern india kingdom manipur rule seat power kangla fort develop sophisticated hindu gaudiya vaishnavite culture,1
428,,5
429,sultanate bengal dominant power gangesbrahmaputra delta network mint town spread across region,5
430,sunni muslim monarchy indo turkic arab abyssinian bengali muslim elite,5
431,sultanate know religious pluralism non muslim community co exist peacefully,5
432,bengal sultanate circle vassal state include odisha southwest arakan southeast tripura east,4
433,early th century bengal sultanate reach peak territorial growth control kamrup kamata northeast jaunpur bihar west,5
434,repute thriving trading nation one asia strong state,1
435,bengal sultanate describe contemporary european chinese visitor relatively prosperous kingdom,3
436,due abundance good bengal region describe rich country trade,3
437,bengal sultanate leave strong architectural legacy,1
438,building period show foreign influence merge distinct bengali style,0
439,bengal sultanate also large prestigious authority among independent medieval muslim rule state history bengal,5
440,decline begin interregnum suri empire follow mughal conquest disintegration petty kingdom,5
441,,5
442,bhakti movement sikhism bhakti movement refers theistic devotional trend emerge medieval hinduism later revolutionise sikhism originate seventh century south india part tamil nadu kerala spread northward,0
443,swept east north india th century onwards reach zenith th th century ce,5
444,,5
445,early modern period c ce early modern period indian history date ce ce correspond rise fall mughal empire inherit timurid renaissance,5
446,age india economy expand relative peace maintain art patronize,5
447,period witness development indo islamic architecture growth maratha sikh able rule significant region india wan day mughal empire formally come end british raj found mughal empire babur timurid descendant timur genghis khan fergana valley modern day uzbekistan swept across khyber pas establish mughal empire zenith cover much south asia,5
448,however son humayun defeat afghan warrior sher shah suri year humayun force retreat kabul,2
449,sher shah death son islam shah suri hindu general hemu vikramaditya establish secular rule north india delhi akbar great defeat hemu second battle panipat november win battle delhi,0
450,,5
451,famous emperor akbar great grandson babar try establish good relationship hindu,3
452,akbar declare amari non kill animal holy day jainism,2
453,roll back jizya tax non muslim,2
454,mughal emperor marry local royalty ally local maharaja attempt fuse turko persian culture ancient indian style create unique indo persian culture indo saracenic architecture,3
455,akbar marry rajput princess mariam uz zamani son jahangir part mughal part rajput future mughal emperor jahangir less follow father policy,4
456,mughal dynasty rule indian subcontinent,5
457,reign shah jahan golden age mughal architecture,0
458,erect several large monument famous taj mahal agra well moti masjid agra red fort jama masjid delhi lahore fort,4
459,second large empire exist indian subcontinent surpass china become world large economic power control world economy world leader manufacture produce global industrial output,5
460,economic demographic upsurge stimulate mughal agrarian reform intensified agricultural production proto industrialize economy begin move towards industrial manufacture relatively high degree urbanization time,4
461,mughal empire reach zenith territorial expanse reign aurangzeb whose reign proto industrialisation wave india surpass qing china become world large economy aurangzeb less tolerant predecessor reintroduce jizya tax destroy several historical temple time build hindu temple,2
462,destroy employ significantly hindus imperial bureaucracy predecessor advance administrator base ability rather religion,3
463,however often blame erosion tolerant syncretic tradition predecessor well increase religious controversy centralisation,2
464,english east india company suffer defeat anglo mughal war empire go decline thereafter,4
465,mughals suffer several blow due invasion marathas jat afghan,4
466,maratha general bajirao maratha empire invade plundered delhi,1
467,general amir khan umrao al udat mughal emperor send troop drive away maratha cavalry soldier,4
468,baji rao however easily rout novice mughal general rest imperial mughal army flee,4
469,final defeat mughal empire commander chief mughal army nizam ul mulk rout bhopal maratha army,4
470,essentially brought end mughal empire,5
471,bharatpur state jat ruler suraj mal overran mughal garrison agra plunder city take two great silver door entrance famous taj mahal melt suraj mal,4
472,nader shah emperor iran defeat mughal army battle karnal victory nader capture sacked delhi carry away many treasure include peacock throne mughal rule weaken constant native indian resistance banda singh bahadur lead sikh khalsa mughal religious oppression hindu raja bengal pratapaditya raja sitaram ray revolt maharaja chhatrasal bundela rajput fought mughals establish panna state,4
473,mughal dynasty reduce puppet ruler,4
474,vadda ghalughara take place muslim provincial government base lahore wipe sikh sikh kill offensive begin mughals chhota ghallughara last several decade muslim successor state marathas sikhs maratha empire early th century maratha empire extend suzerainty indian subcontinent,4
475,peshwas maratha consolidate rule much south asia,5
476,maratha credit large extent end mughal rule india maratha kingdom found consolidated chatrapati shivaji maratha aristocrat bhonsle clan,5
477,however credit making marathas formidable power nationally go peshwa bajirao historian,5
478,k k datta write bajirao may well regard second founder maratha empire,1
479,early th century maratha kingdom transform maratha empire rule peshwas prime minister,1
480,maratha defeat mughal army capital battle delhi,1
481,maratha continue military campaign mughals nizam nawab bengal durrani empire extend boundary,5
482,domain maratha stretch across indian subcontinent,1
483,maratha even discuss abolish mughal throne place vishwasrao peshwa mughal imperial throne delhi,4
484,empire peak stretch tamil nadu south peshawar modern day khyber pakhtunkhwa pakistan,5
485,note north bengal east,5
486,northwestern expansion maratha stop third battle panipat,2
487,however maratha authority north establish within decade peshwa madhavrao madhavrao strong knight grant semi autonomy create confederacy maratha state gaekwads baroda holkars indore malwa scindias gwalior ujjain bhonsales nagpur puars dhar dewas,4
488,east india company intervene peshwa family succession struggle pune lead first anglo maratha war result maratha victory,4
489,maratha remain major power india defeat second third anglo maratha war result east india company control india,5
490,sikh empire sikh empire ranjit singh,5
491,sikh empire great geographical extent ca,1
492,,5
493,harmandir sahib preeminent pilgrimage site sikhism,4
494,ranjit singh rebuilt marble copper overlay sanctum gold foil,4
495,sikh empire rule member sikh religion political entity govern northwestern region indian subcontinent,4
496,empire base around punjab region exist,5
497,forge foundation khalsa leadership maharaja ranjit singh array autonomous punjabi misls sikh confederacy citation need maharaja ranjit singh consolidate many part northern india empire,3
498,primarily use sikh khalsa army train european military technique equip modern military technology,5
499,ranjit singh prove master strategist select well qualified general army,3
500,continuously defeat afghan army successfully end afghan sikh war,2
501,stage add central punjab province multan kashmir peshawar valley empire,5
502,peak th century empire extend khyber pas west kashmir north sindh south run along sutlej river himachal east,5
503,death ranjit singh empire weaken lead conflict british east india company,5
504,hard fight first anglo sikh war second anglo sikh war mark downfall sikh empire making among last area indian subcontinent conquer british,4
505,kingdom kingdom mysore southern india expand great extent hyder ali son tipu sultan later half th century,1
506,rule mysore fought series war marathas british combine force,1
507,marathamysore war end april follow finalize treaty gajendragad tipu sultan obligate pay tribute maratha,1
508,concurrently anglo mysore war take place mysoreans use mysorean rocket,4
509,fourth anglo mysore war saw death tipu,4
510,mysore alliance french see threat british east india company mysore attack four side,4
511,nizam hyderabad maratha launch invasion north,4
512,british decisive victory siege seringapatam,1
513,hyderabad found qutb shahi dynasty golconda,3
514,follow brief mughal rule asif jah mughal official seize control hyderabad declare nizam al mulk hyderabad,4
515,nizams lose considerable territory pay tribute maratha empire rout multiple battle battle palkhed however nizams maintain sovereignty pay tribute marathas later vassels british,1
516,hyderabad state become princely state british india,1
517,nawabs bengal become de facto ruler bengal follow decline mughal empire,5
518,however rule interrupt marathas carry six expedition bengal result bengal become tributary state maratha,5
519,june siraj ud daulah last independent nawab bengal betray battle plassey mir jafar,4
520,lose british take charge bengal instal mir jafar masnad throne establish political power bengal,0
521,system dual government establish nawabs rule behalf british mere puppet british,4
522,system abolish bengal brought direct control british,4
523,nizamat governorship nawab also take away remain mere pensioner british east india company,4
524,th century whole rajputana virtually subdue maratha,1
525,second anglo maratha war distract marathas afterward maratha domination rajputana resume,4
526,british go war pindaris raider base maratha territory quickly become third anglo maratha war british government offer protection rajput ruler pindaris maratha,1
527,end similar treaty execute rajput state britain,1
528,maratha sindhia ruler gwalior give district ajmer merwara british maratha influence rajasthan come end rajput prince remain loyal britain revolt political change make rajputana indian independence,1
529,rajputana agency contain princely state notable udaipur state jaipur state bikaner state jodhpur state,1
530,,5
531,fall maratha empire many maratha dynasty state become vassal subsidiary alliance british form large bloc princely state british raj term territory population citation need decline sikh empire first anglo sikh war term treaty amritsar british government sell kashmir maharaja gulab singh princely state jammu kashmir second large princely state british india create dogra dynasty,1
532,eastern northeastern india hindu buddhist state cooch behar kingdom twipra kingdom kingdom sikkim annexed british make vassal princely state,1
533,,5
534,fall vijayanagara empire polygar state emerge southern india manage weather invasion flourish polygar war defeat british east india company force around th century kingdom nepal form rajput ruler european exploration portuguese fleet vasco da gama successfully discover new sea route europe india pave way direct indo european commerce,1
535,portuguese soon set trading post goa daman diu bombay,2
536,conquest goa portuguese institute goa inquisition new indian convert non christian punish suspected heresy christianity condemn burnt,2
537,goa become main portuguese base annex india,5
538,next arrive dutch main base ceylon,3
539,establish port malabar,0
540,however expansion india halt defeat battle colachel kingdom travancore travancore dutch war,1
541,dutch never recover defeat longer pose large colonial threat india,4
542,internal conflict among indian kingdom give opportunity european trader gradually establish political influence appropriate land,5
543,follow dutch britishwho set west coast port surat french establish trading outpost india,4
544,although continental european power control various coastal region southern eastern india ensue century eventually lose territory india british exception french outpost pondichéry chandernagore portuguese colony goa daman diu east india company rule india india east india company rule india show east india company territory pink,4
545,india show east india company pink territory english east india company found company merchant london trading east indie,4
546,gain foothold india establishment factory masulipatnam eastern coast india grant right mughal emperor jahangir establish factory surat,0
547,receive similar permission vijayanagara ruler far south second factory establish madras southeastern coast,0
548,bombay island far surat former portuguese outpost gift england dowry marriage catherine braganza charles ii lease company,2
549,two decade later company establish presence ganges river delta factory set calcutta,4
550,time company establish portuguese dutch french danish similarly expand region,4
551,,5
552,company victory robert clive battle plassey another victory battle buxar bihar consolidate company power force emperor shah alam ii appoint diwan revenue collector bengal bihar orissa,4
553,company thus become de facto ruler large area lower gangetic plain,1
554,also proceed degree expand dominion around bombay madras,0
555,anglo mysore war anglo maratha war leave control large area india south sutlej river,4
556,defeat marathas native power represent threat company long expansion company power chiefly take two form,4
557,first outright annexation indian state subsequent direct governance underlie region collectively come comprise british india,1
558,annexed region include north western province comprise rohilkhand gorakhpur doab delhi assam ahom kingdom sindh,5
559,punjab north west frontier province kashmir annex anglo sikh war period tenure marquess dalhousie governor general,4
560,however kashmir immediately sell treaty amritsar dogra dynasty jammu thereby become princely state,1
561,berar annex along state oudh two year later second form assert power involve treaty indian ruler acknowledge company hegemony return limit internal autonomy,4
562,since company operate financial constraint set political underpinnings rule,4
563,important support come subsidiary alliance indian prince first year company rule,0
564,early th century territory prince account two third india indian ruler able secure territory want enter alliance company welcome economical method indirect rule involve economic cost direct administration political cost gain support alien subject return company undertook defense subordinate ally treat traditional respect mark honor,4
565,subsidiary alliance create princely states hindu maharajas muslim nawab,0
566,prominent among princely state cochin jaipur travancore hyderabad mysore ci sutlej hill state central india agency cutch gujarat gaikwad territory rajputana bahawalpur indian indenture system indian indenture system ongoing system indenture form debt bondage million indian transport various colony european power provide labor mainly sugar plantation,1
567,start end slavery continue,0
568,result development large indian diaspora spread caribbean e g trinidad tobago pacific ocean e g fiji growth large indo caribbean indo african population,1
569,modern period independence c ce rebellion consequence,5
570,indian rebellion large scale rebellion soldier employ british east india company northern central india company rule,5
571,spark lead mutiny issue new gunpowder cartridge enfield rifle insensitive local religious prohibition,0
572,key mutineer mangal pandey,1
573,addition underlie grievance british taxation ethnic gulf british officer indian troop land annexation play significant role rebellion,1
574,within week pandey mutiny dozen unit indian army join peasant army widespread rebellion,1
575,rebel soldier later join indian nobility many lose title domain doctrine lapse felt company interfere traditional system inheritance,4
576,rebel leader nana sahib rani jhansi belong group outbreak mutiny meerut rebel quickly reach delhi,4
577,rebel also capture large tract north western province awadh oudh,4
578,notably awadh rebellion take attribute patriotic revolt british presence however british east india company mobilise rapidly assistance friendly princely state take british remainder well part suppress rebellion,1
579,due rebel poorly equip outside support funding brutally subdue british aftermath power transfer british east india company british crown begin administer india number province,1
580,crown control company land directly considerable indirect influence rest india consist princely state rule local royal family,5
581,officially princely state actual state government three large mysore hyderabad kashmir,4
582,absorbed independent nation british raj colonial government strengthen expanded infrastructure via court system legal procedure statute,1
583,indian penal code come,0
584,education thomas babington macaulay make school priority raj famous minute february succeed implement use english medium instruction,3
585,indian matriculate,5
586,indian economy grow per year population also grow,2
587,however indian private industry begin grow significantly,3
588,india build modern railway system late th century fourth large world,5
589,british raj invest heavily infrastructure include canal irrigation system addition railways telegraphy road port however historian bitterly divide issue economic history nationalist school argue india poor end british rule begin impoverishment occur british lord curzon split large province bengal largely hindu western half eastern bengal assam largely muslim eastern half,1
590,british goal say efficient administration people bengal outrage apparent divide rule strategy,0
591,also mark begin organise anti colonial movement,0
592,liberal party britain come power remove,0
593,bengal reunify,5
594,new viceroy gilbert minto new secretary state india john morley consult congress leader political reform,0
595,morley minto reform provide indian membership provincial executive council well viceroy executive council,4
596,imperial legislative council enlarge member separate communal representation muslim establish dramatic step towards representative responsible government several socio religious organisation come time,4
597,muslim set india muslim league,5
598,mass party design protect interest aristocratic muslim,2
599,internally divide conflicting loyalty islam british india distrust hindu citation need,3
600,akhil bharatiya hindu mahasabha rashtriya swayamsevak sangh r seek represent hindu interest though latter always claim cultural organisation sikh found shiromani akali dal,2
601,however large old political party indian national congress found attempt keep distance socio religious movement identity politics indian renaissance bengali renaissance refers social reform movement nineteenth early twentieth century bengal region indian subcontinent period british rule dominate bengali hindu,0
602,historian nitish sengupta describe renaissance start reformer humanitarian raja ram mohan roy end asia first nobel laureate rabindranath tagore flower religious social reformer scholar writer describe historian david kopf one creative period indian history period bengal witness intellectual awaken way similar renaissance,0
603,movement question exist orthodoxy particularly respect woman marriage dowry system caste system religion,0
604,one early social movement emerge time young bengal movement w history india national football team represent india international football control india football federation aiff,3
605,squad global jurisdiction fifa govern asia afc,3
606,aiff one founding member south asian football federation saff squad also part regional federation,3
607,early year,5
608,team consider one best team asia golden era early,0
609,,5
610,period india gold asian game finish fourth summer olympics,3
611,thus india become first asian nation reach semi final fifa organize major tournament,3
612,india never participate fifa world cup although qualify default world cup nation qualification group withdraw,3
613,however india withdraw prior beginning tournament,5
614,team also appear four time afc asian cup asia top football championship finish runner,3
615,golden year india also participate saff championship top regional football competition south asia,3
616,tournament seven time since begin become successful team region,5
617,decline,4
618,first know official international tour indian team time consist indian british player lead indian footballer gostha paul,3
619,resurgence football team consist entirely indian player start tour australia japan indonesia thailand late,3
620,first international match india play independence yet verify trace find match india play overseas ceylon,3
621,india second international tour gostha paul lead side victory score,3
622,july india play visit chinese team hold calcutta,3
623,match draw present success several indian football club abroad india football federation aiff form,3
624,year india make long official tour invitation australian football association august october played match many state district club team friendly match australian national side,3
625,play match state district team september sydney india play first friendly match australia get defeat match consider india first fifa recognise match,3
626,second match brisbane indian fight back draw,3
627,third match newcastle september india register first win margin,2
628,australian defeat india next two match hold sydney melbourne score line respectively,4
629,sydney match september indian striker lumsden score first hat trick india australian side include penalty kick,2
630,team image,5
631,national team play first match independent nation first round summer olympics france,4
632,use mainly barefooted player india defeat london,3
633,nickname india manage qualify fifa world cup schedule take place brazil withdrawal opponent group qualify round,3
634,later india well withdrew tournament due travel cost lack practice time value olympics world cup,3
635,kit colour despite reason give aiff many historian pundit believe india withdraw world cup due fifa impose rule ban player play barefoot,3
636,fifa offer pay travel expense indian team hence india withdraw due travel cost incorrect,1
637,however accord captain india sailen manna story team allow play due want play barefoot true excuse cover real reason aiff decide travel brazil,0
638,,5
639,since india come close qualify another world cup,3
640,home stadium despite participate world cup follow year usually consider golden era indian football,0
641,india coach hyderabad city police head coach syed abdul rahim become one best team asia,3
642,march rahim lead india first ever triumph asian game,5
643,host india team defeat iran gold medal match gain first trophy,4
644,sahu mewalal score win goal india match,0
645,next year india go back olympics defeat first round time yugoslavia heavy score,3
646,upon return india aiff make mandatory footballer wear boot,3
647,take defeat finland india participate various minor tournament colombo cup four time,3
648,supporter,5
649,india return asian game defend champion manila,2
650,despite achievement three year prior india unable go past group stage team finish second group c tournament two point behind indonesia,3
651,two year later summer olympics india go achieve team great result competitive tournament,3
652,team finish fourth place summer olympics football tournament lose bronze medal match bulgaria,3
653,tournament also know neville souza hat trick australia quarterfinal,0
654,souza hat trick first score asian olympic history,0
655,medium coverage,3
656,good performance summer olympics india participate asian game tokyo,3
657,team finish fourth lose bronze medal match indonesia,3
658,next year team travel malaysia take part merdeka cup finish tournament runner,3
659,result fixture india begin afc asian cup qualifier,3
660,despite qualifier west zone hold kochi india finish last qualification group thus miss tournament,3
661,despite set back india go win gold medal asian game second time,4
662,team defeat south korea win second major championship,0
663,two year later follow asian game triumph india participate afc asian cup team qualification group withdraw,3
664,despite automatic entry continental tournament india manage finish runner tournament lose host israel two point,4
665,remains india best performance afc asian cup,3
666,india return asian game,4
667,despite performance two year prior afc asian cup india could go beyond group stage team finish third behind japan iran,3
668,four year later asian game india come back take third place tournament,5
669,team defeat japan bronze medal match,3
670,coach staff,2
671,india performance asian game sharply decline finish edition last place group lose three match score two concede goal first round,4
672,india show steady improvement tournament finish second group three,3
673,team knock next round finish last group three defeat three match,3
674,tournament prove well india side manage qualify quarter final lose saudi arabia,3
675,current personnel india manage qualify afc asian cup first time since second place triumph,3
676,tournament india finish last place five team group first round,3
677,india non defeat tournament come iran draw,3
678,past head coach despite india decline major football power asia team still manage assert dominance top team south asia,3
679,india manage win football competition south asian game gold medal,5
680,team begin win inaugural saff championship,0
681,team end th century win saff championship,0
682,player india first competitive match st century fifa world cup first round qualifier,3
683,india take bright start defeating united arab emirates draw yemen well two victory brunei include victory bangalore,5
684,however finish point away qualification next round,3
685,india take part saff championship,5
686,team qualify semi final fell bangladesh,4
687,current squad later india participate afro asian game hold hyderabad,3
688,coach stephen constantine india manage make final tournament defeat zimbabwe team rank place india fifa ranking time,3
689,despite major victory gold medal match india defeat uzbekistan,4
690,achievement constantine vote asian football confederation manager month october,2
691,tournament result also give india recognition around country around world,0
692,recent callups constantine replace syed nayeemuddin indian head coach last little year india suffer many heavy defeat afc asian cup qualifier,3
693,time india defeat japan saudi arabia yemen respectively home away jeddah,2
694,former malmö china coach bob houghton bring head coach may,2
695,notable player houghton india witness massive improvement football standing,3
696,august houghton country restart nehru cup india defeat syria final,0
697,pappachen pradeep score win goal india match,0
698,next year houghton lead india afc challenge cup host hyderabad delhi,3
699,tournament india breeze group stage defeat myanmar semi final,4
700,final tajikistan india sunil chhetri hat trick match,0
701,victory earn india championship also allow india qualify afc asian cup nation first asian cup appearance year,3
702,order prepare asian cup houghton team stay together squad eight month june till start tournament meaning player would play club,3
703,competitive record india draw group c asian cup australia south korea bahrain,3
704,even though stay together team eight month india lose three match asian cup include defeat australia,3
705,despite result india praised fan pundit valiant effort tournament,3
706,fifa world cup participate afc asian cup india campaign qualify asian cup begin february afc challenge cup qualifier,3
707,bob houghton decide change makeup india squad replace many old player asian cup young player aiff development side league indian arrow,3
708,even young side india manage qualify afc challenge cup,3
709,despite qualify afc challenge cup aiff decide terminate contract bob houghton charge racial abuse towards referee ultimately result resign head coach india,3
710,afc asian cup dempo coach armando colaco interim head coach aiff sign savio medeira head coach october,2
711,medeira lead india another saff championship victory also worst performance afc challenge cup march,3
712,team lose three group match unable score single goal tournament,4
713,tournament medeira replace head coach dutchman wim koevermans,3
714,koevermans first job head coach nehru cup,2
715,india third successive nehru cup defeat cameroon penalty,2
716,summer olympics,3
717,march india fail qualify afc challenge cup thus also fail qualify afc asian cup,3
718,team also fail retain saff championship lose afghanistan final,0
719,bad result friendly koevermans resign head coach october,2
720,asian game march play match india reach low fifa rank position,3
721,couple month prior stephen constantine hire head coach first lead india decade,2
722,constantine first major assignment back india head coach fifa world cup qualifier,3
723,make first round qualifier india crash second round lose seven eight match thus fail qualify world cup,3
724,saff championship,0
725,despite failure qualify world cup india manage reach third round afc asian cup qualifier defeat laos play round aggregate,3
726,october india secure qualification afc asian cup victory macau,3
727,see also though defeated saff championship final maldives september india regain momentum friendly china jordan oman begin afc asian cup victory thailand big ever win asia cup first year,0
728,nevertheless lose next two group match uae bahrain respectively finish bottom group thus fail move knock stage,3
729,stephen constantine immediately resign position head coach follow failure progress tournament,2
730,reference may aiff announce former croatian player coach igor štimac team head coach departure stephen constantine,2
731,first major assignment india world cup qualification begin home loss oman,4
732,second match earn respectable point manage goalless draw asian champion fifa world cup host qatar,4
733,however third match home leg bangladesh saw manage disappointing draw,2
734,similar result repeat away leg afghanistan,5
735,away leg india lose yet oman solitary goal thus shorten hope qualify next round,3
736,several postponement due covid team finally fly doha play remainder game,2
737,return leg qatar india go host single goal get knocked world cup qualification contention two game spare,4
